,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.5636666417121887,1.2858635187149048,0.16703785955905914,9.931329727172852,9.999999747378752e-05
1,0.7329109907150269,0.7249714136123657,0.16703785955905914,17.16649055480957,9.999999747378752e-05
2,0.7872624397277832,0.5653279423713684,0.16722407937049866,18.422475814819336,9.999999747378752e-05
3,0.8348899483680725,0.43421778082847595,0.16703785955905914,12.703714370727539,9.999999747378752e-05
4,0.8616205453872681,0.3964136838912964,0.18040089309215546,6.3021063804626465,9.999999747378752e-05
5,0.8649550080299377,0.37038999795913696,0.5953177213668823,1.3386359214782715,9.999999747378752e-05
6,0.8789596557617188,0.3272205591201782,0.7416480779647827,0.9897673726081848,9.999999747378752e-05
7,0.8892595171928406,0.2975987195968628,0.7966480255126953,0.4979919195175171,9.999999747378752e-05
8,0.9013004302978516,0.2771785855293274,0.8521836400032043,0.40100640058517456,9.999999747378752e-05
9,0.9025366902351379,0.26815325021743774,0.8775055408477783,0.3442584276199341,9.999999747378752e-05
10,0.9049366116523743,0.2563745379447937,0.788418710231781,0.5318155288696289,9.999999747378752e-05
11,0.9113037586212158,0.23197826743125916,0.7793952822685242,0.5500983595848083,9.999999747378752e-05
12,0.9309769868850708,0.2012081891298294,0.8169642686843872,0.4225437045097351,9.999999747378752e-05
13,0.9252835512161255,0.20068705081939697,0.7906458973884583,0.518432080745697,9.999999747378752e-05
14,0.9256170988082886,0.19339318573474884,0.7681159377098083,0.5925230979919434,9.999999747378752e-05
15,0.9296432137489319,0.18817205727100372,0.7709497213363647,0.8507639765739441,4.999999873689376e-05
16,0.9263087511062622,0.19179381430149078,0.769487738609314,0.8033155798912048,4.999999873689376e-05
17,0.9379586577415466,0.174768328666687,0.7637178301811218,0.6744506359100342,4.999999873689376e-05
18,0.9392523169517517,0.15980248153209686,0.7616926431655884,0.8812093138694763,4.999999873689376e-05
19,0.9246415495872498,0.17607273161411285,0.781737208366394,0.676503598690033,4.999999873689376e-05
